gid,config
0,i_pvwatts_fixed
1,i_pvwatts_fixed
2,i_pvwatts_fixed
3,i_pvwatts_fixed
4,i_pvwatts_fixed
5,i_pvwatts_fixed
6,i_pvwatts_fixed
7,i_pvwatts_fixed
8,i_pvwatts_fixed
9,i_pvwatts_fixed
10,i_pvwatts_fixed
11,i_pvwatts_fixed
12,i_pvwatts_fixed
13,i_pvwatts_fixed
14,i_pvwatts_fixed
15,i_pvwatts_fixed
16,i_pvwatts_fixed
17,i_pvwatts_fixed
18,i_pvwatts_fixed
19,i_pvwatts_fixed
20,i_pvwatts_fixed
21,i_pvwatts_fixed
22,i_pvwatts_fixed
23,i_pvwatts_fixed
24,i_pvwatts_fixed
25,i_pvwatts_fixed
26,i_pvwatts_fixed
27,i_pvwatts_fixed
28,i_pvwatts_fixed
29,i_pvwatts_fixed
30,i_pvwatts_fixed
31,i_pvwatts_fixed
32,i_pvwatts_fixed
33,i_pvwatts_fixed
34,i_pvwatts_fixed
35,i_pvwatts_fixed
36,i_pvwatts_fixed
37,i_pvwatts_fixed
38,i_pvwatts_fixed
39,i_pvwatts_fixed
40,i_pvwatts_fixed
41,i_pvwatts_fixed
42,i_pvwatts_fixed
43,i_pvwatts_fixed
44,i_pvwatts_fixed
45,i_pvwatts_fixed
46,i_pvwatts_fixed
47,i_pvwatts_fixed
48,i_pvwatts_fixed
49,i_pvwatts_fixed
50,i_pvwatts_fixed
51,i_pvwatts_fixed
52,i_pvwatts_fixed
53,i_pvwatts_fixed
54,i_pvwatts_fixed
55,i_pvwatts_fixed
56,i_pvwatts_fixed
57,i_pvwatts_fixed
58,i_pvwatts_fixed
59,i_pvwatts_fixed
60,i_pvwatts_fixed
61,i_pvwatts_fixed
62,i_pvwatts_fixed
63,i_pvwatts_fixed
64,i_pvwatts_fixed
65,i_pvwatts_fixed
66,i_pvwatts_fixed
67,i_pvwatts_fixed
68,i_pvwatts_fixed
69,i_pvwatts_fixed
70,i_pvwatts_fixed
71,i_pvwatts_fixed
72,i_pvwatts_fixed
73,i_pvwatts_fixed
74,i_pvwatts_fixed
75,i_pvwatts_fixed
76,i_pvwatts_fixed
77,i_pvwatts_fixed
78,i_pvwatts_fixed
79,i_pvwatts_fixed
80,i_pvwatts_fixed
81,i_pvwatts_fixed
82,i_pvwatts_fixed
83,i_pvwatts_fixed
84,i_pvwatts_fixed
85,i_pvwatts_fixed
86,i_pvwatts_fixed
87,i_pvwatts_fixed
88,i_pvwatts_fixed
89,i_pvwatts_fixed
90,i_pvwatts_fixed
91,i_pvwatts_fixed
92,i_pvwatts_fixed
93,i_pvwatts_fixed
94,i_pvwatts_fixed
95,i_pvwatts_fixed
96,i_pvwatts_fixed
97,i_pvwatts_fixed
98,i_pvwatts_fixed
99,i_pvwatts_fixed
100,i_pvwatts_fixed
101,i_pvwatts_fixed
102,i_pvwatts_fixed
103,i_pvwatts_fixed
104,i_pvwatts_fixed
105,i_pvwatts_fixed
106,i_pvwatts_fixed
107,i_pvwatts_fixed
108,i_pvwatts_fixed
109,i_pvwatts_fixed
110,i_pvwatts_fixed
111,i_pvwatts_fixed
112,i_pvwatts_fixed
113,i_pvwatts_fixed
114,i_pvwatts_fixed
115,i_pvwatts_fixed
116,i_pvwatts_fixed
117,i_pvwatts_fixed
118,i_pvwatts_fixed
119,i_pvwatts_fixed
120,i_pvwatts_fixed
121,i_pvwatts_fixed
122,i_pvwatts_fixed
123,i_pvwatts_fixed
124,i_pvwatts_fixed
125,i_pvwatts_fixed
126,i_pvwatts_fixed
127,i_pvwatts_fixed
128,i_pvwatts_fixed
129,i_pvwatts_fixed
130,i_pvwatts_fixed
131,i_pvwatts_fixed
132,i_pvwatts_fixed
133,i_pvwatts_fixed
134,i_pvwatts_fixed
135,i_pvwatts_fixed
136,i_pvwatts_fixed
137,i_pvwatts_fixed
138,i_pvwatts_fixed
