,gid,config
0,142943,pvwattsv5_fixed
1,142944,pvwattsv5_fixed
2,142945,pvwattsv5_fixed
3,142946,pvwattsv5_fixed
4,142947,pvwattsv5_fixed
5,142948,pvwattsv5_fixed
6,142949,pvwattsv5_fixed
7,142950,pvwattsv5_fixed
8,142951,pvwattsv5_fixed
9,143419,pvwattsv5_fixed
10,143420,pvwattsv5_fixed
11,143421,pvwattsv5_fixed
12,143422,pvwattsv5_fixed
13,143423,pvwattsv5_fixed
14,143424,pvwattsv5_fixed
15,143425,pvwattsv5_fixed
16,143426,pvwattsv5_fixed
17,143427,pvwattsv5_fixed
18,143895,pvwattsv5_fixed
19,143896,pvwattsv5_fixed
20,143897,pvwattsv5_fixed
21,143898,pvwattsv5_fixed
22,143899,pvwattsv5_fixed
23,143900,pvwattsv5_fixed
24,143901,pvwattsv5_fixed
25,143902,pvwattsv5_fixed
26,143903,pvwattsv5_fixed
27,144371,pvwattsv5_fixed
28,144372,pvwattsv5_fixed
29,144373,pvwattsv5_fixed
30,144374,pvwattsv5_fixed
31,144375,pvwattsv5_fixed
32,144376,pvwattsv5_fixed
33,144377,pvwattsv5_fixed
34,144378,pvwattsv5_fixed
35,144379,pvwattsv5_fixed
36,144848,pvwattsv5_fixed
37,144849,pvwattsv5_fixed
38,144850,pvwattsv5_fixed
39,144851,pvwattsv5_fixed
40,144852,pvwattsv5_fixed
41,144853,pvwattsv5_fixed
42,144854,pvwattsv5_fixed
43,144855,pvwattsv5_fixed
44,144856,pvwattsv5_fixed
45,145326,pvwattsv5_fixed
46,145327,pvwattsv5_fixed
47,145328,pvwattsv5_fixed
48,145329,pvwattsv5_fixed
49,145330,pvwattsv5_fixed
50,145331,pvwattsv5_fixed
51,145332,pvwattsv5_fixed
52,145333,pvwattsv5_fixed
53,145334,pvwattsv5_fixed
54,145805,pvwattsv5_fixed
55,145806,pvwattsv5_fixed
56,145807,pvwattsv5_fixed
57,145808,pvwattsv5_fixed
58,145809,pvwattsv5_fixed
59,145810,pvwattsv5_fixed
60,145811,pvwattsv5_fixed
61,145812,pvwattsv5_fixed
62,145813,pvwattsv5_fixed
63,146285,pvwattsv5_fixed
64,146286,pvwattsv5_fixed
65,146287,pvwattsv5_fixed
66,146288,pvwattsv5_fixed
67,146289,pvwattsv5_fixed
68,146290,pvwattsv5_fixed
69,146291,pvwattsv5_fixed
70,146292,pvwattsv5_fixed
71,146293,pvwattsv5_fixed
72,146766,pvwattsv5_fixed
73,146767,pvwattsv5_fixed
74,146768,pvwattsv5_fixed
75,146769,pvwattsv5_fixed
76,146770,pvwattsv5_fixed
77,146771,pvwattsv5_fixed
78,146772,pvwattsv5_fixed
79,146773,pvwattsv5_fixed
80,146774,pvwattsv5_fixed
81,147248,pvwattsv5_fixed
82,147249,pvwattsv5_fixed
83,147250,pvwattsv5_fixed
84,147251,pvwattsv5_fixed
85,147252,pvwattsv5_fixed
86,147253,pvwattsv5_fixed
87,147254,pvwattsv5_fixed
88,147255,pvwattsv5_fixed
89,147256,pvwattsv5_fixed
90,147731,pvwattsv5_fixed
91,147732,pvwattsv5_fixed
92,147733,pvwattsv5_fixed
93,147734,pvwattsv5_fixed
94,147735,pvwattsv5_fixed
95,147736,pvwattsv5_fixed
96,147737,pvwattsv5_fixed
97,147738,pvwattsv5_fixed
98,147739,pvwattsv5_fixed
99,148215,pvwattsv5_fixed
100,148216,pvwattsv5_fixed
101,148217,pvwattsv5_fixed
102,148218,pvwattsv5_fixed
103,148219,pvwattsv5_fixed
104,148220,pvwattsv5_fixed
105,148221,pvwattsv5_fixed
106,148222,pvwattsv5_fixed
107,148223,pvwattsv5_fixed
108,148701,pvwattsv5_fixed
109,148702,pvwattsv5_fixed
110,148703,pvwattsv5_fixed
111,148704,pvwattsv5_fixed
112,148705,pvwattsv5_fixed
113,148706,pvwattsv5_fixed
114,148707,pvwattsv5_fixed
115,148708,pvwattsv5_fixed
116,148709,pvwattsv5_fixed
117,149188,pvwattsv5_fixed
118,149189,pvwattsv5_fixed
119,149190,pvwattsv5_fixed
120,149191,pvwattsv5_fixed
121,149192,pvwattsv5_fixed
122,149193,pvwattsv5_fixed
123,149194,pvwattsv5_fixed
124,149195,pvwattsv5_fixed
125,149196,pvwattsv5_fixed
126,149677,pvwattsv5_fixed
127,149678,pvwattsv5_fixed
128,149679,pvwattsv5_fixed
129,149680,pvwattsv5_fixed
130,149681,pvwattsv5_fixed
131,149682,pvwattsv5_fixed
132,149683,pvwattsv5_fixed
133,149684,pvwattsv5_fixed
134,149685,pvwattsv5_fixed
135,150166,pvwattsv5_fixed
136,150167,pvwattsv5_fixed
137,150168,pvwattsv5_fixed
138,150169,pvwattsv5_fixed
139,150170,pvwattsv5_fixed
140,150171,pvwattsv5_fixed
141,150172,pvwattsv5_fixed
142,150173,pvwattsv5_fixed
143,150174,pvwattsv5_fixed
144,150655,pvwattsv5_fixed
145,150656,pvwattsv5_fixed
146,150657,pvwattsv5_fixed
147,150658,pvwattsv5_fixed
148,150659,pvwattsv5_fixed
149,150660,pvwattsv5_fixed
150,150661,pvwattsv5_fixed
151,150662,pvwattsv5_fixed
152,150663,pvwattsv5_fixed
153,151144,pvwattsv5_fixed
154,151145,pvwattsv5_fixed
155,151146,pvwattsv5_fixed
156,151147,pvwattsv5_fixed
157,151148,pvwattsv5_fixed
158,151149,pvwattsv5_fixed
159,151150,pvwattsv5_fixed
160,151151,pvwattsv5_fixed
161,151152,pvwattsv5_fixed
162,151634,pvwattsv5_fixed
163,151635,pvwattsv5_fixed
164,151636,pvwattsv5_fixed
165,151637,pvwattsv5_fixed
166,151638,pvwattsv5_fixed
167,151639,pvwattsv5_fixed
168,151640,pvwattsv5_fixed
